crashtime,day,crash
0,sun,699
0,mon,324
0,tue,252
0,wed,306
0,thu,356
0,fri,405
0,sat,744
1,sun,645
1,mon,174
1,tue,146
1,wed,191
1,thu,221
1,fri,293
1,sat,576
2,sun,699
2,mon,176
2,tue,126
2,wed,154
2,thu,198
2,fri,263
2,sat,677
3,sun,378
3,mon,112
3,tue,95
3,wed,90
3,thu,106
3,fri,129
3,sat,363
4,sun,235
4,mon,103
4,tue,108
4,wed,150
4,thu,121
4,fri,151
4,sat,245
5,sun,212
5,mon,356
5,tue,412
5,wed,366
5,thu,389
5,fri,407
5,sat,249
6,sun,232
6,mon,969
6,tue,1087
6,wed,1081
6,thu,1122
6,fri,909
6,sat,383
7,sun,345
7,mon,1906
7,tue,2324
7,wed,2239
7,thu,2062
7,fri,1968
7,sat,650
8,sun,529
8,mon,2135
8,tue,2426
8,wed,2500
8,thu,2288
8,fri,2145
8,sat,981
9,sun,851
9,mon,1715
9,tue,1937
9,wed,1940
9,thu,1800
9,fri,1767
9,sat,1429
10,sun,1184
10,mon,1649
10,tue,1747
10,wed,1767
10,thu,1659
10,fri,1759
10,sat,1763
11,sun,1421
11,mon,1750
11,tue,1912
11,wed,1950
11,thu,1788
11,fri,2120
11,sat,2189
12,sun,1895
12,mon,2226
12,tue,2245
12,wed,2318
12,thu,2276
12,fri,2526
12,sat,2412
13,sun,1903
13,mon,2116
13,tue,2249
13,wed,2219
13,thu,2215
13,fri,2628
13,sat,2287
14,sun,1812
14,mon,2590
14,tue,2429
14,wed,2627
14,thu,2547
14,fri,2996
14,sat,2270
15,sun,1733
15,mon,3007
15,tue,3138
15,wed,3100
15,thu,3095
15,fri,3639
15,sat,2334
16,sun,1757
16,mon,3177
16,tue,3232
16,wed,3279
16,thu,3327
16,fri,3839
16,sat,2164
17,sun,1698
17,mon,3433
17,tue,3698
17,wed,3753
17,thu,3680
17,fri,3861
17,sat,2070
18,sun,1541
18,mon,2366
18,tue,2681
18,wed,2736
18,thu,2715
18,fri,2945
18,sat,1932
19,sun,1213
19,mon,1426
19,tue,1536
19,wed,1666
19,thu,1739
19,fri,1946
19,sat,1509
20,sun,1018
20,mon,1095
20,tue,1238
20,wed,1376
20,thu,1326
20,fri,1509
20,sat,1415
21,sun,884
21,mon,946
21,tue,1037
21,wed,1067
21,thu,1121
21,fri,1491
21,sat,1364
22,sun,630
22,mon,639
22,tue,722
22,wed,686
22,thu,783
22,fri,1230
22,sat,1182
23,sun,454
23,mon,406
23,tue,463
23,wed,495
23,thu,538
23,fri,927
23,sat,909
